SRC_ID,DST_ID,SRC_NAME,DST_NAME
g1066447-d13016533,13122ah3330043651,上千葉 砂原公園,上千葉砂原公園
g1403544-d12969537,20543cc3362008096,山田温泉大湯,山田温泉　大湯
g1121611-d1384959,46535ae3342014652,貝工房かざはな,貝工房　かざはな
g298560-d7161328,guide000000191266,赤れんが テラス,赤れんがテラス
g1122381-d6817070,19209ae3302072552,中村キース ヘリング美術館,中村キース・ヘリング美術館
g1122381-d1425524,19209ah3332072597,白州 尾白の森名水公園 べるが,白州・尾白の森名水公園　べるが
g1120431-d11621330,03402ae2180021178,中尊寺 金色堂,中尊寺金色堂
g1022859-d1385944,29205ac2102025069,万葉の丘スポーツ広場ボタン園,万葉の丘スポーツ広場　ボタン園
20324aa6712093452,20324cc3360170004,体験学習館　ルミエール,体験学習館ルミエール
g1022384-d12671308,guide000000188515,虹の宿 ホテル花景色,虹の宿ホテル花景色
g1121057-d1425304,09407cb3410089738,殺生石 展望台遊歩道,殺生石～展望台遊歩道
g1117905-d11705494,guide000000192942,道の駅 FARMUS 木島平,道の駅 ＦＡＲＭＵＳ木島平
g1066449-d12699857,guide000000191849,東京税関 情報ひろば,東京税関「情報ひろば」
g1121208-d8148911,22305cc3290031895,明治商家 中瀬邸,明治商家中瀬邸
g1121139-d7108026,guide000000188998,鮎沢パーキングエリア上り,鮎沢パーキングエリア（上り）
